PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_req=22 ttl=64 time=8.86 ms
64 bytes from 10.0.0.1: icmp_req=25 ttl=64 time=0.921 ms
64 bytes from 10.0.0.1: icmp_req=26 ttl=64 time=0.395 ms
64 bytes from 10.0.0.1: icmp_req=27 ttl=64 time=0.286 ms
64 bytes from 10.0.0.1: icmp_req=28 ttl=64 time=0.183 ms
64 bytes from 10.0.0.1: icmp_req=29 ttl=64 time=0.295 ms
64 bytes from 10.0.0.1: icmp_req=30 ttl=64 time=0.293 ms
64 bytes from 10.0.0.1: icmp_req=31 ttl=64 time=0.304 ms
64 bytes from 10.0.0.1: icmp_req=32 ttl=64 time=0.363 ms
64 bytes from 10.0.0.1: icmp_req=33 ttl=64 time=0.289 ms
64 bytes from 10.0.0.1: icmp_req=34 ttl=64 time=0.302 ms
64 bytes from 10.0.0.1: icmp_req=35 ttl=64 time=0.328 ms
64 bytes from 10.0.0.1: icmp_req=36 ttl=64 time=0.293 ms
64 bytes from 10.0.0.1: icmp_req=37 ttl=64 time=0.352 ms
64 bytes from 10.0.0.1: icmp_req=38 ttl=64 time=0.311 ms
64 bytes from 10.0.0.1: icmp_req=39 ttl=64 time=0.394 ms
64 bytes from 10.0.0.1: icmp_req=40 ttl=64 time=0.374 ms
64 bytes from 10.0.0.1: icmp_req=41 ttl=64 time=0.244 ms
64 bytes from 10.0.0.1: icmp_req=42 ttl=64 time=0.338 ms
64 bytes from 10.0.0.1: icmp_req=43 ttl=64 time=0.296 ms
64 bytes from 10.0.0.1: icmp_req=44 ttl=64 time=0.324 ms
64 bytes from 10.0.0.1: icmp_req=45 ttl=64 time=0.288 ms
64 bytes from 10.0.0.1: icmp_req=46 ttl=64 time=0.296 ms
64 bytes from 10.0.0.1: icmp_req=47 ttl=64 time=0.402 ms
64 bytes from 10.0.0.1: icmp_req=48 ttl=64 time=0.323 ms
64 bytes from 10.0.0.1: icmp_req=49 ttl=64 time=0.179 ms
64 bytes from 10.0.0.1: icmp_req=50 ttl=64 time=0.292 ms
64 bytes from 10.0.0.1: icmp_req=51 ttl=64 time=0.293 ms
64 bytes from 10.0.0.1: icmp_req=52 ttl=64 time=0.285 ms
64 bytes from 10.0.0.1: icmp_req=53 ttl=64 time=0.362 ms
64 bytes from 10.0.0.1: icmp_req=54 ttl=64 time=0.186 ms
64 bytes from 10.0.0.1: icmp_req=55 ttl=64 time=0.182 ms
64 bytes from 10.0.0.1: icmp_req=56 ttl=64 time=0.343 ms
64 bytes from 10.0.0.1: icmp_req=57 ttl=64 time=0.303 ms
