PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_req=2 ttl=64 time=9.36 ms
64 bytes from 10.0.0.1: icmp_req=4 ttl=64 time=2.47 ms
64 bytes from 10.0.0.1: icmp_req=5 ttl=64 time=2.09 ms
64 bytes from 10.0.0.1: icmp_req=6 ttl=64 time=2.11 ms
64 bytes from 10.0.0.1: icmp_req=8 ttl=64 time=1.24 ms
64 bytes from 10.0.0.1: icmp_req=11 ttl=64 time=1.91 ms
64 bytes from 10.0.0.1: icmp_req=12 ttl=64 time=1.88 ms
64 bytes from 10.0.0.1: icmp_req=13 ttl=64 time=2.19 ms
64 bytes from 10.0.0.1: icmp_req=15 ttl=64 time=2.13 ms
64 bytes from 10.0.0.1: icmp_req=16 ttl=64 time=2.17 ms
64 bytes from 10.0.0.1: icmp_req=17 ttl=64 time=2.08 ms
64 bytes from 10.0.0.1: icmp_req=19 ttl=64 time=2.11 ms
64 bytes from 10.0.0.1: icmp_req=20 ttl=64 time=2.22 ms
64 bytes from 10.0.0.1: icmp_req=21 ttl=64 time=0.189 ms
64 bytes from 10.0.0.1: icmp_req=22 ttl=64 time=0.293 ms
64 bytes from 10.0.0.1: icmp_req=23 ttl=64 time=0.302 ms
64 bytes from 10.0.0.1: icmp_req=24 ttl=64 time=0.450 ms
