PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_req=1 ttl=64 time=35.6 ms
64 bytes from 10.0.0.1: icmp_req=2 ttl=64 time=54.5 ms
64 bytes from 10.0.0.1: icmp_req=3 ttl=64 time=46.7 ms
64 bytes from 10.0.0.1: icmp_req=4 ttl=64 time=52.0 ms
64 bytes from 10.0.0.1: icmp_req=5 ttl=64 time=487 ms
64 bytes from 10.0.0.1: icmp_req=6 ttl=64 time=367 ms
64 bytes from 10.0.0.1: icmp_req=7 ttl=64 time=335 ms
64 bytes from 10.0.0.1: icmp_req=8 ttl=64 time=481 ms
64 bytes from 10.0.0.1: icmp_req=9 ttl=64 time=340 ms
64 bytes from 10.0.0.1: icmp_req=10 ttl=64 time=487 ms
64 bytes from 10.0.0.1: icmp_req=11 ttl=64 time=478 ms
64 bytes from 10.0.0.1: icmp_req=12 ttl=64 time=602 ms
64 bytes from 10.0.0.1: icmp_req=13 ttl=64 time=356 ms
64 bytes from 10.0.0.1: icmp_req=14 ttl=64 time=371 ms
64 bytes from 10.0.0.1: icmp_req=15 ttl=64 time=483 ms
64 bytes from 10.0.0.1: icmp_req=16 ttl=64 time=462 ms
64 bytes from 10.0.0.1: icmp_req=17 ttl=64 time=489 ms
64 bytes from 10.0.0.1: icmp_req=18 ttl=64 time=576 ms
64 bytes from 10.0.0.1: icmp_req=19 ttl=64 time=565 ms
64 bytes from 10.0.0.1: icmp_req=20 ttl=64 time=576 ms
64 bytes from 10.0.0.1: icmp_req=21 ttl=64 time=480 ms
64 bytes from 10.0.0.1: icmp_req=22 ttl=64 time=364 ms
64 bytes from 10.0.0.1: icmp_req=23 ttl=64 time=129 ms
64 bytes from 10.0.0.1: icmp_req=24 ttl=64 time=2.99 ms
64 bytes from 10.0.0.1: icmp_req=25 ttl=64 time=0.292 ms
64 bytes from 10.0.0.1: icmp_req=26 ttl=64 time=0.301 ms
64 bytes from 10.0.0.1: icmp_req=27 ttl=64 time=0.289 ms
64 bytes from 10.0.0.1: icmp_req=28 ttl=64 time=0.349 ms
64 bytes from 10.0.0.1: icmp_req=29 ttl=64 time=0.289 ms
64 bytes from 10.0.0.1: icmp_req=30 ttl=64 time=0.326 ms
64 bytes from 10.0.0.1: icmp_req=31 ttl=64 time=0.293 ms
64 bytes from 10.0.0.1: icmp_req=32 ttl=64 time=0.294 ms
64 bytes from 10.0.0.1: icmp_req=33 ttl=64 time=0.296 ms
64 bytes from 10.0.0.1: icmp_req=34 ttl=64 time=0.296 ms
64 bytes from 10.0.0.1: icmp_req=35 ttl=64 time=0.305 ms
64 bytes from 10.0.0.1: icmp_req=36 ttl=64 time=0.372 ms
64 bytes from 10.0.0.1: icmp_req=37 ttl=64 time=0.348 ms
64 bytes from 10.0.0.1: icmp_req=38 ttl=64 time=0.295 ms
64 bytes from 10.0.0.1: icmp_req=39 ttl=64 time=0.239 ms
64 bytes from 10.0.0.1: icmp_req=40 ttl=64 time=0.273 ms
64 bytes from 10.0.0.1: icmp_req=41 ttl=64 time=0.295 ms
64 bytes from 10.0.0.1: icmp_req=42 ttl=64 time=0.292 ms
64 bytes from 10.0.0.1: icmp_req=43 ttl=64 time=0.290 ms
64 bytes from 10.0.0.1: icmp_req=44 ttl=64 time=0.320 ms
64 bytes from 10.0.0.1: icmp_req=45 ttl=64 time=0.283 ms
64 bytes from 10.0.0.1: icmp_req=46 ttl=64 time=0.318 ms
64 bytes from 10.0.0.1: icmp_req=47 ttl=64 time=0.292 ms
64 bytes from 10.0.0.1: icmp_req=48 ttl=64 time=0.300 ms
64 bytes from 10.0.0.1: icmp_req=49 ttl=64 time=0.330 ms
64 bytes from 10.0.0.1: icmp_req=50 ttl=64 time=0.432 ms
64 bytes from 10.0.0.1: icmp_req=51 ttl=64 time=0.357 ms
64 bytes from 10.0.0.1: icmp_req=52 ttl=64 time=0.304 ms
64 bytes from 10.0.0.1: icmp_req=53 ttl=64 time=0.427 ms
64 bytes from 10.0.0.1: icmp_req=54 ttl=64 time=0.339 ms
64 bytes from 10.0.0.1: icmp_req=55 ttl=64 time=0.360 ms
64 bytes from 10.0.0.1: icmp_req=56 ttl=64 time=0.302 ms
