PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_req=1 ttl=64 time=11.4 ms
64 bytes from 10.0.0.1: icmp_req=2 ttl=64 time=19.8 ms
64 bytes from 10.0.0.1: icmp_req=3 ttl=64 time=23.4 ms
64 bytes from 10.0.0.1: icmp_req=4 ttl=64 time=23.7 ms
64 bytes from 10.0.0.1: icmp_req=5 ttl=64 time=24.2 ms
64 bytes from 10.0.0.1: icmp_req=6 ttl=64 time=24.8 ms
64 bytes from 10.0.0.1: icmp_req=7 ttl=64 time=24.5 ms
64 bytes from 10.0.0.1: icmp_req=8 ttl=64 time=28.9 ms
64 bytes from 10.0.0.1: icmp_req=9 ttl=64 time=26.4 ms
64 bytes from 10.0.0.1: icmp_req=10 ttl=64 time=24.1 ms
64 bytes from 10.0.0.1: icmp_req=11 ttl=64 time=26.8 ms
64 bytes from 10.0.0.1: icmp_req=12 ttl=64 time=21.1 ms
64 bytes from 10.0.0.1: icmp_req=13 ttl=64 time=27.4 ms
64 bytes from 10.0.0.1: icmp_req=14 ttl=64 time=29.5 ms
64 bytes from 10.0.0.1: icmp_req=15 ttl=64 time=28.6 ms
64 bytes from 10.0.0.1: icmp_req=16 ttl=64 time=19.5 ms
64 bytes from 10.0.0.1: icmp_req=17 ttl=64 time=24.8 ms
64 bytes from 10.0.0.1: icmp_req=18 ttl=64 time=22.3 ms
64 bytes from 10.0.0.1: icmp_req=19 ttl=64 time=23.2 ms
64 bytes from 10.0.0.1: icmp_req=20 ttl=64 time=24.7 ms
64 bytes from 10.0.0.1: icmp_req=21 ttl=64 time=19.7 ms
64 bytes from 10.0.0.1: icmp_req=22 ttl=64 time=0.292 ms
64 bytes from 10.0.0.1: icmp_req=23 ttl=64 time=0.287 ms
64 bytes from 10.0.0.1: icmp_req=24 ttl=64 time=0.300 ms
